Category,A,B,C,Volume,vol_reduce(%),Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index,Phi_Comp_Norm,Gamma_Allie_Norm,Omega_Stiff_Norm,vol_reduce(%)_Norm,SEI_J_Index_Rigorous,SEI_Score_100
A,0.0,106.0,5.2,15.081265,13.82,-2.863,1.25,3.775,0.1893,0.4932,6.2609,646.3352,2.2913,0.2782,0.2,0.1239,0.5017,0.314,31.4
A,0.0,106.0,5.3,15.081265,13.82,-2.863,1.25,3.775,0.1893,0.4932,6.2609,646.3352,2.2913,0.2782,0.2,0.1239,0.5017,0.314,31.4
A,0.0,106.0,5.4,15.255767,12.82,-2.818,1.361,3.338,0.1892,0.5368,6.9996,593.888,2.5494,0.2775,0.2491,0.1628,0.4786,0.3207,32.07
A,0.0,106.0,5.5,14.347595,18.01,-2.904,1.823,3.243,0.1968,0.5571,7.6607,572.239,2.7768,0.3243,0.2719,0.1977,0.5987,0.3859,38.59
A,0.0,114.0,3.1,14.280771,18.4,-3.382,1.414,3.725,0.2024,0.455,6.7006,700.5619,2.4281,0.3588,0.157,0.147,0.6077,0.3728,37.28
A,0.0,114.0,3.4,13.942188,20.33,-3.057,1.52,3.444,0.1909,0.4677,7.4234,681.5214,2.6671,0.288,0.1713,0.1852,0.6523,0.3728,37.28
A,0.0,114.0,3.5,13.22167,24.45,-2.835,1.521,3.191,0.1864,0.4924,8.4485,647.4261,3.012,0.2603,0.1991,0.2392,0.7476,0.409,40.9
A,0.0,114.0,4.2,14.879309,14.98,-3.113,1.234,3.613,0.1913,0.5029,6.6305,633.903,2.4172,0.2905,0.2109,0.1433,0.5286,0.3321,33.21
A,0.0,114.0,4.3,14.879309,14.98,-3.113,1.234,3.613,0.1913,0.5029,6.6305,633.903,2.4172,0.2905,0.2109,0.1433,0.5286,0.3321,33.21
A,0.0,114.0,4.4,15.175502,13.28,-3.063,1.044,3.241,0.1939,0.5353,7.2472,595.4879,2.6322,0.3065,0.2474,0.1759,0.4892,0.3358,33.58
A,0.0,114.0,5.2,14.913937,14.78,-3.028,1.318,3.902,0.1862,0.4686,6.1251,680.2794,2.2374,0.2591,0.1723,0.1167,0.5239,0.3092,30.92
A,0.0,114.0,5.3,14.913937,14.78,-3.028,1.318,3.902,0.1862,0.4686,6.1251,680.2794,2.2374,0.2591,0.1723,0.1167,0.5239,0.3092,30.92
A,0.0,114.0,5.4,15.15224,13.42,-2.972,1.95,3.46,0.1878,0.5124,6.7989,622.1575,2.4747,0.2689,0.2216,0.1522,0.4925,0.3161,31.61
A,0.0,114.0,5.5,14.238612,18.64,-2.995,1.798,3.396,0.1922,0.5269,7.3716,604.9698,2.6699,0.296,0.2379,0.1824,0.6132,0.3731,37.31
A,0.0,122.0,3.1,14.230817,18.68,-3.395,1.53,3.806,0.1984,0.4339,6.5811,734.6788,2.3804,0.3342,0.1332,0.1407,0.6142,0.3618,36.18
A,0.0,122.0,3.5,13.165229,24.77,-2.796,1.954,3.356,0.18,0.4618,8.0676,690.3405,2.8741,0.2209,0.1646,0.2191,0.755,0.3892,38.92
A,0.0,122.0,4.5,13.979302,20.12,-2.995,1.848,3.295,0.1814,0.5228,7.7384,609.7733,2.7861,0.2295,0.2333,0.2018,0.6475,0.3648,36.48
A,0.0,122.0,5.4,15.10083,13.71,-3.128,1.971,3.541,0.185,0.4934,6.666,646.0632,2.4237,0.2517,0.2002,0.1452,0.4992,0.3079,30.79
A,0.0,122.0,5.5,14.216861,18.76,-2.934,1.872,3.486,0.1863,0.5066,7.1922,629.2317,2.6021,0.2597,0.2151,0.173,0.616,0.3566,35.66
A,0.0,130.0,3.2,13.378197,23.55,-3.474,1.496,4.044,0.1904,0.4098,6.5885,777.8269,2.3723,0.2849,0.1061,0.1411,0.7268,0.3784,37.84
A,0.0,130.0,3.3,13.378197,23.55,-3.474,1.496,4.044,0.1904,0.4098,6.5885,777.8269,2.3723,0.2849,0.1061,0.1411,0.7268,0.3784,37.84
A,0.0,130.0,3.4,14.393184,17.75,-3.021,2.091,3.439,0.1887,0.4572,7.2012,697.2313,2.5895,0.2745,0.1594,0.1734,0.5926,0.3445,34.45
A,0.0,130.0,4.4,14.87112,15.02,-3.115,1.989,3.489,0.1853,0.4843,6.8699,658.2562,2.488,0.2535,0.19,0.156,0.5295,0.3187,31.87
A,0.0,130.0,5.1,15.626954,10.7,-3.034,1.348,4.038,0.1799,0.4274,5.6488,745.7996,2.0645,0.2203,0.1259,0.0916,0.4296,0.2529,25.29
A,0.0,130.0,5.2,14.795123,15.46,-3.139,1.368,4.1,0.1792,0.4316,5.8761,738.6431,2.1407,0.216,0.1306,0.1036,0.5397,0.2909,29.09
A,0.0,130.0,5.3,14.795123,15.46,-3.139,1.368,4.1,0.1792,0.4316,5.8761,738.6431,2.1407,0.216,0.1306,0.1036,0.5397,0.2909,29.09
A,0.0,130.0,5.4,15.019774,14.17,-3.087,2.137,3.628,0.181,0.4749,6.5413,671.3285,2.3751,0.2271,0.1794,0.1386,0.5098,0.2986,29.86
A,1.0,90.0,3.2,16.268747,7.04,-3.271,1.297,3.204,0.2197,0.5853,6.8383,544.6778,2.5223,0.4652,0.3037,0.1543,0.3449,0.3464,34.64
A,1.0,90.0,4.1,16.321262,6.74,-3.561,1.119,4.04,0.2129,0.4728,5.4058,674.2783,2.0102,0.4234,0.177,0.0788,0.338,0.2964,29.64
A,1.0,90.0,4.5,16.175505,7.57,-2.391,1.107,1.642,0.2315,0.8439,13.4203,377.7371,4.7836,0.5378,0.5949,0.5014,0.3572,0.481,48.1
A,1.0,98.0,3.2,15.886471,9.22,-3.497,1.237,3.404,0.2173,0.5337,6.5914,597.3396,2.423,0.4505,0.2456,0.1413,0.3953,0.3464,34.64
A,1.0,98.0,3.3,15.868109,9.33,-3.258,1.088,2.564,0.2219,0.6472,8.761,492.5511,3.1779,0.4788,0.3734,0.2557,0.3979,0.3971,39.71
A,1.0,98.0,4.3,16.095333,8.03,-2.864,1.06,2.572,0.2144,0.6435,8.6104,495.4143,3.1245,0.4326,0.3692,0.2477,0.3678,0.3696,36.96
A,1.0,98.0,4.4,15.978796,8.69,-2.634,0.946,2.087,0.2218,0.7239,10.6888,440.3708,3.8394,0.4782,0.4597,0.3573,0.3831,0.4233,42.33
A,1.0,98.0,4.5,16.083093,8.1,-2.417,1.178,1.726,0.2262,0.7953,12.8406,400.8164,4.5745,0.5052,0.5401,0.4708,0.3694,0.46,46.0
A,1.0,98.0,5.2,15.911752,9.08,-2.765,1.056,3.389,0.2018,0.5044,6.6101,632.0109,2.4144,0.3551,0.2126,0.1423,0.3921,0.3082,30.82
A,1.0,106.0,3.1,16.091892,8.05,-4.14,1.628,4.626,0.2069,0.4001,4.7883,796.7364,1.7804,0.3865,0.0951,0.0462,0.3683,0.2751,27.51
A,1.0,106.0,3.3,15.67085,10.45,-3.399,1.156,2.728,0.2185,0.5999,8.3379,531.3751,3.0216,0.4578,0.3201,0.2334,0.4238,0.3861,38.61
A,1.0,106.0,3.5,15.615298,10.77,-2.637,1.268,1.831,0.2214,0.7343,12.4668,434.1405,4.4294,0.4757,0.4715,0.4511,0.4312,0.4561,45.61
A,1.0,106.0,4.2,15.885108,9.23,-3.053,1.146,3.402,0.2073,0.5149,6.5958,619.1177,2.4149,0.3889,0.2244,0.1415,0.3956,0.3225,32.25
A,1.0,106.0,4.3,15.858563,9.38,-2.879,1.109,2.697,0.2116,0.6045,8.3339,527.3447,3.0195,0.4154,0.3253,0.2332,0.399,0.3646,36.46
A,1.0,106.0,4.5,15.904881,9.11,-2.459,1.168,1.842,0.2241,0.7426,12.1667,429.2727,4.334,0.4923,0.4808,0.4353,0.3928,0.4477,44.77
A,1.0,106.0,5.3,16.05748,8.24,-2.789,1.04,2.802,0.2006,0.5711,7.9223,558.2352,2.869,0.3477,0.2877,0.2115,0.3727,0.3233,32.33
A,1.0,106.0,5.4,16.076285,8.14,-2.502,1.673,2.313,0.2086,0.6385,9.5859,499.2656,3.4429,0.3969,0.3636,0.2992,0.3703,0.3662,36.62
A,1.0,106.0,5.5,16.040247,8.34,-2.426,1.207,1.965,0.2197,0.6933,11.3089,459.7778,4.0332,0.4652,0.4253,0.39,0.375,0.416,41.6
A,1.0,114.0,3.1,15.815617,9.63,-4.224,1.657,4.756,0.2034,0.381,4.7388,836.632,1.7567,0.3649,0.0736,0.0436,0.4048,0.2761,27.61
A,1.0,114.0,3.2,15.817214,9.62,-3.762,1.584,3.62,0.208,0.4816,6.2252,661.945,2.2819,0.3932,0.1869,0.122,0.4046,0.3174,31.74
A,1.0,114.0,3.3,15.705243,10.26,-3.511,1.165,2.801,0.2127,0.5734,8.1028,555.9124,2.9333,0.4222,0.2903,0.221,0.4194,0.3657,36.57
A,1.0,114.0,3.4,15.599476,10.86,-2.848,1.075,2.267,0.217,0.6458,10.0794,493.6505,3.6109,0.4486,0.3718,0.3252,0.4333,0.4101,41.01
A,1.0,114.0,3.5,15.464626,11.63,-2.663,1.246,1.944,0.2161,0.6858,11.8566,464.8486,4.2103,0.4431,0.4168,0.4189,0.4511,0.4374,43.74
A,1.0,114.0,4.2,15.809211,9.66,-3.104,1.313,3.507,0.2017,0.4902,6.4291,650.2927,2.3499,0.3545,0.1966,0.1327,0.4055,0.3082,30.82
A,1.0,114.0,4.3,15.736964,10.07,-3.135,1.133,2.825,0.2066,0.5681,8.0178,561.1251,2.9015,0.3846,0.2843,0.2165,0.415,0.35,35.0
A,1.0,114.0,4.4,15.713688,10.21,-2.882,1.094,2.33,0.2143,0.6272,9.7356,508.2983,3.4904,0.432,0.3509,0.3071,0.4182,0.3931,39.31
A,1.0,114.0,4.5,15.680702,10.4,-2.559,1.223,1.953,0.2181,0.6856,11.6393,464.9438,4.1392,0.4554,0.4166,0.4075,0.4226,0.43,43.0
A,1.0,114.0,5.3,15.800874,9.71,-2.718,1.069,2.931,0.1969,0.5361,7.6966,594.6465,2.7818,0.3249,0.2483,0.1996,0.4067,0.3185,31.85
A,1.0,114.0,5.4,15.854115,9.41,-2.705,1.055,2.422,0.2103,0.6036,9.2828,528.1248,3.3319,0.4074,0.3243,0.2832,0.3997,0.3703,37.03
A,1.0,114.0,5.5,15.954867,8.83,-2.444,1.266,2.044,0.2179,0.6607,10.93,482.4652,3.8968,0.4542,0.3886,0.3701,0.3863,0.4066,40.66
A,1.0,122.0,3.1,15.625659,10.71,-4.46,1.799,4.862,0.1993,0.366,4.6918,871.025,1.7348,0.3397,0.0568,0.0411,0.4298,0.2728,27.28
A,1.0,122.0,3.2,15.668395,10.47,-3.946,1.711,3.755,0.2041,0.4573,6.0584,697.109,2.2175,0.3692,0.1596,0.1132,0.4242,0.3099,30.99
A,1.0,122.0,3.3,15.600492,10.85,-3.496,1.317,2.924,0.206,0.5414,7.8141,588.8351,2.8253,0.3809,0.2543,0.2058,0.433,0.348,34.8
A,1.0,122.0,3.4,15.447465,11.73,-2.897,1.199,2.413,0.2167,0.6013,9.5627,530.15,3.4256,0.4468,0.3217,0.298,0.4534,0.4034,40.34
A,1.0,122.0,4.2,15.479077,11.55,-3.329,1.355,3.689,0.1956,0.455,6.2422,700.5946,2.2746,0.3169,0.157,0.1229,0.4492,0.302,30.2
A,1.0,122.0,5.5,15.748281,10.01,-2.512,1.407,2.172,0.2111,0.6186,10.4208,515.3306,3.7127,0.4123,0.3412,0.3432,0.4136,0.3894,38.94
A,1.0,130.0,3.1,15.469862,11.6,-4.776,1.571,4.964,0.1985,0.351,4.6417,908.217,1.7131,0.3348,0.0399,0.0385,0.4504,0.2748,27.48
A,1.0,130.0,3.2,15.576083,10.99,-3.851,1.701,3.859,0.1991,0.4371,5.9301,729.2668,2.1669,0.3385,0.1368,0.1064,0.4363,0.2988,29.88
A,1.0,130.0,3.3,15.495578,11.45,-3.654,1.372,3.061,0.2032,0.5141,7.5149,620.0353,2.7166,0.3637,0.2235,0.19,0.4469,0.3391,33.91
A,1.0,130.0,3.5,15.350613,12.28,-2.652,1.425,2.146,0.2053,0.607,10.8203,525.1422,3.8388,0.3766,0.3281,0.3643,0.4661,0.3963,39.63
A,1.0,130.0,4.4,15.433868,11.81,-2.966,1.177,2.54,0.2088,0.5699,9.0926,559.3707,3.2575,0.3982,0.2863,0.2732,0.4552,0.3777,37.77
A,1.0,130.0,4.5,15.431641,11.82,-2.611,1.393,2.176,0.2088,0.6125,10.6151,520.4854,3.774,0.3982,0.3343,0.3535,0.4555,0.3992,39.92
A,1.0,130.0,5.2,15.293405,12.61,-2.859,1.137,3.768,0.1861,0.4323,6.1856,737.4443,2.2453,0.2585,0.1314,0.1199,0.4737,0.286,28.6
A,2.0,70.0,0.0,16.244753,7.17,-2.168,0.586,1.006,0.2171,1.2009,21.8114,265.458,7.6657,0.4492,0.9968,0.9438,0.3479,0.5891,58.91
A,2.0,74.0,0.0,16.271195,7.02,-2.029,0.653,1.041,0.2124,1.1518,21.0438,276.7635,7.3946,0.4203,0.9416,0.9034,0.3444,0.5624,56.24
A,2.0,74.0,2.0,15.301902,12.56,-1.884,0.892,1.209,0.2016,0.9867,19.2674,323.0793,6.7504,0.3538,0.7557,0.8097,0.4726,0.5364,53.64
A,2.0,78.0,0.0,16.150471,7.71,-2.082,0.608,1.09,0.2084,1.0998,20.248,289.8474,7.1135,0.3957,0.883,0.8614,0.3604,0.5428,54.28
A,2.0,78.0,1.0,15.612463,10.79,-1.954,0.56,0.998,0.2082,1.1913,22.8767,267.6003,8.0111,0.3945,0.986,1.0,0.4316,0.6064,60.64
A,2.0,78.0,1.0,15.75904,9.95,-1.954,0.56,0.998,0.2082,1.1913,22.6639,267.6003,7.9409,0.3945,0.986,0.9888,0.4122,0.598,59.8
A,2.0,78.0,2.0,15.149448,13.43,-2.073,0.692,1.323,0.1961,0.9314,17.7843,342.2564,6.2409,0.32,0.6934,0.7315,0.4927,0.5084,50.84
A,2.0,78.0,2.0,15.149448,13.43,-2.073,0.692,1.323,0.1961,0.9314,17.7843,342.2564,6.2409,0.32,0.6934,0.7315,0.4927,0.5084,50.84
A,2.0,82.0,0.0,15.875719,9.28,-2.069,0.613,1.179,0.208,1.0441,19.0435,305.3194,6.6975,0.3932,0.8203,0.7979,0.3967,0.533,53.3
A,2.0,82.0,1.0,15.612463,10.79,-1.996,0.581,1.032,0.2062,1.1464,22.123,278.0603,7.7469,0.3822,0.9355,0.9603,0.4316,0.5872,58.72
A,2.0,90.0,2.0,15.770395,9.88,-2.13,0.649,1.342,0.2151,0.9642,16.8422,330.629,5.9471,0.4369,0.7303,0.6818,0.4106,0.5178,51.78
A,2.0,90.0,2.0,15.77193,9.87,-2.13,0.649,1.342,0.2151,0.9642,16.8406,330.629,5.9466,0.4369,0.7303,0.6817,0.4104,0.5178,51.78
A,2.0,90.0,2.0,15.823968,9.58,-2.13,0.649,1.342,0.2151,0.9642,16.7852,330.629,5.9283,0.4369,0.7303,0.6788,0.4037,0.515,51.5
A,2.0,90.0,2.0,15.823968,9.58,-2.13,0.649,1.342,0.2151,0.9642,16.7852,330.629,5.9283,0.4369,0.7303,0.6788,0.4037,0.515,51.5
A,2.0,90.0,2.0,15.823968,9.58,-2.13,0.649,1.342,0.2151,0.9642,16.7852,330.629,5.9283,0.4369,0.7303,0.6788,0.4037,0.515,51.5
A,2.0,90.0,2.0,15.845195,9.46,-2.13,0.649,1.342,0.2151,0.9642,16.7627,330.629,5.9209,0.4369,0.7303,0.6776,0.4009,0.5139,51.39
A,2.0,90.0,2.0,15.928946,8.98,-2.13,0.649,1.342,0.2151,0.9642,16.6746,330.629,5.8918,0.4369,0.7303,0.673,0.3898,0.5094,50.94
A,2.0,90.0,2.0,15.928946,8.98,-2.13,0.649,1.342,0.2151,0.9642,16.6746,330.629,5.8918,0.4369,0.7303,0.673,0.3898,0.5094,50.94
A,2.0,94.0,1.0,15.193167,13.18,-1.813,0.86,1.246,0.1986,0.9632,18.829,330.9737,6.597,0.3354,0.7292,0.7866,0.4869,0.5267,52.67
A,2.0,98.0,1.0,15.23014,12.97,-2.035,0.683,1.268,0.1954,0.9763,18.4574,326.5341,6.4776,0.3157,0.7439,0.767,0.4821,0.5177,51.77
A,2.0,98.0,3.0,15.301902,12.56,-1.884,0.892,1.209,0.2016,0.9867,19.2674,323.0793,6.7504,0.3538,0.7557,0.8097,0.4726,0.5364,53.64
A,2.0,102.0,3.0,15.149448,13.43,-2.073,0.692,1.323,0.1961,0.9314,17.7843,342.2564,6.2409,0.32,0.6934,0.7315,0.4927,0.5084,50.84
A-S,0.0,30.0,2.0,17.512754,-0.07,-2.545,0.823,1.891,0.3066,0.9211,10.7634,346.0931,3.9571,1.0,0.6818,0.3613,0.1804,0.5673,56.73
A-S,0.0,30.0,4.0,14.831684,15.25,-2.236,0.67,1.349,0.2383,0.8129,17.8153,392.1448,6.2259,0.5797,0.56,0.7331,0.5348,0.587,58.7
A-S,0.0,34.0,2.0,18.876961,-7.87,-2.25,0.872,1.746,0.2989,1.0552,10.8148,302.1114,4.0157,0.9526,0.8328,0.364,0.0,0.517,51.7
A-S,0.0,34.0,3.0,16.866428,3.62,-2.161,0.623,1.112,0.282,1.2037,19.0049,264.8361,6.7619,0.8486,1.0,0.7958,0.2658,0.6708,67.08
A-S,0.0,38.0,4.0,15.013718,14.21,-3.127,0.7,1.352,0.2168,0.8309,17.5602,383.6632,6.1406,0.4474,0.5802,0.7197,0.5108,0.536,53.6
A-S,0.0,42.0,2.0,16.268694,7.04,-3.191,1.095,2.307,0.2714,0.6768,9.4972,471.0319,3.447,0.7834,0.4067,0.2945,0.3449,0.493,49.3
A-S,0.0,46.0,2.0,15.86438,9.35,-3.548,1.114,2.522,0.2613,0.6085,8.9089,523.9084,3.227,0.7212,0.3298,0.2635,0.3983,0.472,47.2
A-S,0.0,46.0,4.0,15.015754,14.2,-2.958,0.835,1.519,0.2018,0.7579,15.6275,420.6073,5.4738,0.3551,0.498,0.6178,0.5105,0.4745,47.45
A-S,0.0,50.0,4.0,15.18351,13.24,-2.925,0.86,1.538,0.197,0.7538,15.2639,422.9194,5.3509,0.3255,0.4934,0.5986,0.4883,0.4533,45.33
A-S,1.0,30.0,2.0,12.958092,25.95,-4.291,1.236,2.778,0.2165,0.7188,9.902,443.488,3.5763,0.4455,0.454,0.3159,0.7823,0.5376,53.76
A-S,1.0,34.0,2.0,13.510809,22.8,-3.747,1.187,2.713,0.2219,0.7292,9.7244,437.1599,3.5229,0.4788,0.4657,0.3065,0.7095,0.5248,52.48
A-S,1.0,38.0,2.0,13.318944,23.89,-4.24,1.185,2.838,0.2099,0.6589,9.43,483.8103,3.3986,0.4049,0.3866,0.291,0.7347,0.4928,49.28
A-S,1.0,42.0,2.0,13.907043,20.53,-3.811,0.937,2.745,0.2195,0.6736,9.3372,473.2511,3.376,0.464,0.4031,0.2861,0.657,0.4885,48.85
A-S,1.0,46.0,2.0,14.021276,19.88,-3.587,0.929,2.746,0.2111,0.6572,9.2578,485.0534,3.3416,0.4123,0.3846,0.2819,0.6419,0.4625,46.25
A-S,1.0,50.0,2.0,14.090914,19.48,-3.655,1.143,2.82,0.2096,0.6195,8.9703,514.5571,3.2338,0.4031,0.3422,0.2667,0.6327,0.4468,44.68
A-S,1.0,50.0,2.0,14.090914,19.48,-3.655,1.143,2.82,0.2096,0.6195,8.9703,514.5571,3.2338,0.4031,0.3422,0.2667,0.6327,0.4468,44.68
A-S,1.0,50.0,2.0,14.190012,18.91,-3.655,1.143,2.82,0.2096,0.6195,8.9076,514.5571,3.2131,0.4031,0.3422,0.2634,0.6195,0.4418,44.18
A-S,2.0,30.0,2.0,13.547404,22.59,-2.972,0.747,1.393,0.2324,0.8593,18.8881,370.9928,6.5933,0.5434,0.6122,0.7897,0.7046,0.6497,64.97
A-S,2.0,30.0,4.0,13.423415,23.29,-2.371,1.036,2.296,0.1622,0.5773,11.5654,552.1722,4.0606,0.1114,0.2947,0.4036,0.7208,0.3938,39.38
A-S,2.0,34.0,2.0,13.760244,21.37,-2.544,0.773,1.421,0.2244,0.8324,18.2295,382.9704,6.3645,0.4942,0.5819,0.755,0.6764,0.613,61.3
A-S,2.0,34.0,3.0,13.289201,24.06,-2.007,0.988,2.016,0.1825,0.6238,13.3047,511.0137,4.6566,0.2363,0.347,0.4953,0.7386,0.4654,46.54
A-S,2.0,34.0,4.0,13.331605,23.82,-2.444,1.166,2.368,0.1566,0.5329,11.291,598.1445,3.9536,0.0769,0.2447,0.3891,0.7331,0.3756,37.56
A-S,2.0,38.0,3.0,13.186483,24.65,-2.158,1.144,2.313,0.1686,0.5642,11.6866,564.9672,4.0984,0.1508,0.2799,0.41,0.7523,0.416,41.6
A-S,2.0,42.0,2.0,13.674489,21.86,-2.66,0.93,1.901,0.1981,0.6887,13.712,462.8819,4.8176,0.3323,0.4201,0.5168,0.6877,0.4962,49.62
A-S,2.0,42.0,3.0,13.047057,25.45,-2.2,1.319,2.73,0.1558,0.4923,10.0074,647.4942,3.5163,0.072,0.199,0.3214,0.7708,0.3677,36.77
A-S,2.0,42.0,4.0,13.208737,24.52,-2.48,1.401,2.922,0.1449,0.4494,9.2353,709.2846,3.2438,0.0049,0.1507,0.2807,0.7492,0.3233,32.33
A-S,2.0,46.0,2.0,13.647687,22.01,-2.312,1.055,2.035,0.1829,0.632,12.8343,504.4376,4.5042,0.2388,0.3563,0.4705,0.6912,0.4478,44.78
A-S,2.0,46.0,3.0,13.120191,25.03,-2.061,1.278,2.662,0.1533,0.5045,10.2058,631.8265,3.585,0.0566,0.2127,0.3319,0.761,0.3633,36.33
A-S,2.0,46.0,4.0,13.232752,24.38,-2.266,1.342,2.903,0.1441,0.4636,9.2789,687.569,3.2626,0.0,0.1666,0.283,0.746,0.3236,32.36
A-S,2.0,50.0,2.0,13.799338,21.15,-2.315,1.012,2.109,0.1784,0.6497,12.2478,490.6431,4.315,0.2111,0.3762,0.4395,0.6713,0.4301,43.01
A-S,3.0,30.0,2.0,12.548304,28.3,-3.521,0.731,2.66,0.17,0.8411,10.6789,378.9992,3.8577,0.1594,0.5917,0.3568,0.8367,0.4901,49.01
A-S,3.0,34.0,2.0,13.06605,25.34,-3.477,0.686,2.55,0.1712,0.8906,10.6982,357.928,3.8808,0.1668,0.6474,0.3578,0.7682,0.4792,47.92
A-S,3.0,38.0,2.0,12.976707,25.85,-3.664,0.796,2.714,0.1688,0.8002,10.1209,398.3661,3.6597,0.152,0.5457,0.3274,0.78,0.4562,45.62
A-S,3.0,42.0,2.0,13.197014,24.59,-3.738,0.832,2.714,0.1707,0.7932,9.952,401.8871,3.6022,0.1637,0.5378,0.3185,0.7509,0.4476,44.76
A-S,3.0,46.0,2.0,13.475499,23.0,-3.682,0.891,2.789,0.1703,0.7575,9.4842,420.8185,3.436,0.1612,0.4976,0.2938,0.7141,0.4237,42.37
A-S,3.0,50.0,2.0,13.590818,22.34,-3.589,0.931,2.944,0.1654,0.7115,8.9086,448.0177,3.2292,0.1311,0.4458,0.2635,0.6988,0.3948,39.48
A-S,4.0,30.0,2.0,13.881333,20.68,-4.548,0.719,1.782,0.2254,0.7798,14.4097,408.777,5.0869,0.5003,0.5227,0.5535,0.6604,0.5663,56.63
A-S,4.0,30.0,3.0,11.843608,32.32,-7.335,1.256,2.782,0.1743,0.4857,10.8182,656.3886,3.7878,0.1858,0.1915,0.3642,0.9297,0.4644,46.44
A-S,4.0,34.0,2.0,13.721862,21.59,-4.763,0.773,1.928,0.2188,0.7101,13.4733,448.9469,4.7527,0.4597,0.4442,0.5042,0.6815,0.5385,53.85
A-S,4.0,34.0,3.0,11.777157,32.7,-7.77,1.301,3.027,0.1657,0.4502,9.9987,708.0731,3.5028,0.1329,0.1516,0.321,0.9385,0.4359,43.59
